Title,Author,Rating,Number of Ratings,Timestamp
"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,575675,2024-10-13 12:35:36
"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.48,757316,2024-10-13 12:35:36
Leaves of Grass,Walt Whitman,4.12,110287,2024-10-13 12:35:36
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1684484,2024-10-13 12:35:36
East of Eden,John Steinbeck,4.42,560633,2024-10-13 12:35:36
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.21,543121,2024-10-13 12:35:36
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.18,3088635,2024-10-13 12:35:36
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,468630,2024-10-13 12:35:36
"Are You There God? It’s Me, Margaret",Judy Blume,3.94,245316,2024-10-13 12:35:36
’Salem’s Lot,Stephen        King,4.10,595677,2024-10-13 12:35:36
The Cider House Rules,John Irving,4.16,188433,2024-10-13 12:35:36
The Martian,Andy Weir,4.42,1165198,2024-10-13 12:35:36
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.03,1384076,2024-10-13 12:35:36
Fangirl,Rainbow Rowell,3.95,758200,2024-10-13 12:35:36
Walden,Henry David Thoreau,3.78,193489,2024-10-13 12:35:36
Hamlet,William Shakespeare,4.02,981009,2024-10-13 12:35:36
"Legend (Legend, #1)",Marie Lu,4.15,540660,2024-10-13 12:35:36
Mrs. Dalloway,Virginia Woolf,3.79,318940,2024-10-13 12:35:36
All the Light We Cannot See,Anthony Doerr,4.31,1761101,2024-10-13 12:35:36
Sophie’s World,Jostein Gaarder,3.96,265781,2024-10-13 12:35:36
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,313159,2024-10-13 12:35:36
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,357432,2024-10-13 12:35:36
The Awakening,Kate Chopin,3.68,214002,2024-10-13 12:35:36
The Complete Maus,Art Spiegelman,4.58,229722,2024-10-13 12:35:36
The Elephant Tree,R.D. Ronald,3.73,28473,2024-10-13 12:35:36
The Graveyard Book,Neil Gaiman,4.16,550607,2024-10-13 12:35:36
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,468244,2024-10-13 12:35:36
Middlemarch,George Eliot,4.02,167530,2024-10-13 12:35:36
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,932524,2024-10-13 12:35:36
Sophie’s Choice,William Styron,4.17,92179,2024-10-13 12:35:36
Stardust,Neil Gaiman,4.10,467249,2024-10-13 12:35:36
The Zombie Room,R.D. Ronald,3.78,29746,2024-10-13 12:35:36
The Monster at the End of this Book,Jon Stone,4.46,125771,2024-10-13 12:35:36
The Prince of Tides,Pat Conroy,4.25,211132,2024-10-13 12:35:36
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,383573,2024-10-13 12:35:36
Black Beauty,Anna Sewell,3.99,284646,2024-10-13 12:35:36
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,547613,2024-10-13 12:35:36
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,809127,2024-10-13 12:35:36
Number the Stars,Lois Lowry,4.19,583075,2024-10-13 12:35:36
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.80,994869,2024-10-13 12:35:36
Eleanor & Park,Rainbow Rowell,3.94,1199344,2024-10-13 12:35:36
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.30,629025,2024-10-13 12:35:36
V for Vendetta,Alan             Moore,4.26,313136,2024-10-13 12:35:36
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,559072,2024-10-13 12:35:36
The Art of Racing in the Rain,Garth Stein,4.23,530705,2024-10-13 12:35:36
Franny and Zooey,J.D. Salinger,3.96,227623,2024-10-13 12:35:36
The Witches,Roald Dahl,4.18,405781,2024-10-13 12:35:36
American Psycho,Bret Easton Ellis,3.81,327547,2024-10-13 12:35:36
Beowulf,Unknown,3.49,323636,2024-10-13 12:35:36
"The Gunslinger (The Dark Tower, #1)",Stephen        King,3.92,626311,2024-10-13 12:35:36
White Fang,Jack London,4.02,194485,2024-10-13 12:35:36
A Short History of Nearly Everything,Bill Bryson,4.22,396403,2024-10-13 12:35:36
Love You Forever,Robert Munsch,4.37,240576,2024-10-13 12:35:36
"Allegiant (Divergent, #3)",Veronica Roth,3.60,1081665,2024-10-13 12:35:36
War and Peace,Leo Tolstoy,4.16,338581,2024-10-13 12:35:36
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35,90513,2024-10-13 12:35:36
"If I Stay (If I Stay, #1)",Gayle Forman,3.92,927394,2024-10-13 12:35:36
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.74,292357,2024-10-13 12:35:36
The Complete Novels,Jane Austen,4.57,33530,2024-10-13 12:35:36
Gulliver’s Travels,Jonathan Swift,3.58,280733,2024-10-13 12:35:36
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,546884,2024-10-13 12:35:36
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.46,535666,2024-10-13 12:35:36
A Portrait of the Artist as a Young Man,James Joyce,3.64,155453,2024-10-13 12:35:36
Tuck Everlasting,Natalie Babbitt,3.90,280557,2024-10-13 12:35:36
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,876251,2024-10-13 12:35:36
It Ends with Us (It Ends with Us #1),Colleen Hoover,4.14,3879538,2024-10-13 12:35:36
11/22/63,Stephen        King,4.34,566623,2024-10-13 12:35:36
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,437684,2024-10-13 12:35:36
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,442653,2024-10-13 12:35:36
Bel Canto,Ann Patchett,3.93,294379,2024-10-13 12:35:36
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,605678,2024-10-13 12:35:36
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.31,1325281,2024-10-13 12:35:36
القرآن الكريم,Anonymous,4.38,69337,2024-10-13 12:35:36
The Martian Chronicles,Ray Bradbury,4.15,269074,2024-10-13 12:35:36
Go Ask Alice,Beatrice Sparks,3.74,280510,2024-10-13 12:35:36
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,241535,2024-10-13 12:35:36
A Little Life,Hanya Yanagihara,4.32,721076,2024-10-13 12:35:36
Cold Mountain,Charles Frazier,3.89,245168,2024-10-13 12:35:36
Inferno,Dante Alighieri,4.02,188417,2024-10-13 12:35:36
As I Lay Dying,William Faulkner,3.72,173580,2024-10-13 12:35:41
Cloud Atlas,David Mitchell,4.01,254266,2024-10-13 12:35:41
The Grapes of Wrath,John Steinbeck,4.01,930345,2024-10-13 12:35:41
Tao Te Ching,Lao Tzu,4.30,163183,2024-10-13 12:35:41
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.16,341385,2024-10-13 12:35:41
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.04,459560,2024-10-13 12:35:41
Mansfield Park,Jane Austen,3.86,358059,2024-10-13 12:35:41
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.46,1087366,2024-10-13 12:35:41
Steppenwolf,Hermann Hesse,4.13,193296,2024-10-13 12:35:41
The Hunchback of Notre-Dame,Victor Hugo,4.02,205894,2024-10-13 12:35:41
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,607015,2024-10-13 12:35:41
A Separate Peace,John Knowles,3.60,223566,2024-10-13 12:35:41
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.10,387383,2024-10-13 12:35:41
The BFG,Roald Dahl,4.23,495374,2024-10-13 12:35:41
"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.14,287090,2024-10-13 12:35:41
Robinson Crusoe,Daniel Defoe,3.68,311751,2024-10-13 12:35:41
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77,330179,2024-10-13 12:35:41
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,205683,2024-10-13 12:35:41
Room,Emma Donoghue,4.08,814290,2024-10-13 12:35:41
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.33,1022,2024-10-13 12:35:41
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.10,366942,2024-10-13 12:35:41
The Remains of the Day,Kazuo Ishiguro,4.14,318939,2024-10-13 12:35:41
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,234697,2024-10-13 12:35:41
"Red Queen (Red Queen, #1)",Victoria Aveyard,really liked it 4.00,1061250,2024-10-13 12:35:41
The Plague,Albert Camus,4.02,276850,2024-10-13 12:35:41
Dear John,Nicholas Sparks,4.04,605215,2024-10-13 12:35:41
Coraline,Neil Gaiman,4.12,723509,2024-10-13 12:35:41
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,1292855,2024-10-13 12:35:41
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.39,394407,2024-10-13 12:35:41
The English Patient,Michael Ondaatje,3.86,134405,2024-10-13 12:35:41
Doctor Zhivago,Boris Pasternak,4.01,98426,2024-10-13 12:35:41
The Firm,Robin Waterfield,4.06,630874,2024-10-13 12:35:41
The Last Song,Nicholas Sparks,4.16,560594,2024-10-13 12:35:41
Midnight’s Children,Salman Rushdie,3.98,126839,2024-10-13 12:35:41
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85,221480,2024-10-13 12:35:41
Hidden Pictures,Jason Rekulak,4.16,352676,2024-10-13 12:35:41
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,3.98,328076,2024-10-13 12:35:41
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,178974,2024-10-13 12:35:41
Like Water for Chocolate,Laura Esquivel,3.95,373177,2024-10-13 12:35:41
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.34,365547,2024-10-13 12:35:41
All the Bright Places,Jennifer Niven,4.12,586519,2024-10-13 12:35:41
Where the Crawdads Sing,Delia Owens,4.38,3191503,2024-10-13 12:35:41
My Ántonia,Willa Cather,3.83,140763,2024-10-13 12:35:41
Midnight in the Garden of Good and Evil,John Berendt,3.92,278745,2024-10-13 12:35:41
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,1242577,2024-10-13 12:35:41
Breakfast of Champions,Kurt Vonnegut Jr.,4.07,266042,2024-10-13 12:35:41
The Origin of Species,Charles Darwin,4.01,116566,2024-10-13 12:35:41
A Streetcar Named Desire,Tennessee Williams,3.98,317569,2024-10-13 12:35:41
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.85,246131,2024-10-13 12:35:41
Circe,Madeline Miller,4.23,1144142,2024-10-13 12:35:41
"The One (The Selection, #3)",Kiera Cass,4.15,716687,2024-10-13 12:35:41
The Prince,Niccolò Machiavelli,3.84,349389,2024-10-13 12:35:41
A Fine Balance,Rohinton Mistry,4.37,152474,2024-10-13 12:35:41
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.15,442868,2024-10-13 12:35:41
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99,375095,2024-10-13 12:35:41
"Hopeless (Hopeless, #1)",Colleen Hoover,4.24,613118,2024-10-13 12:35:41
The Virgin Suicides,Jeffrey Eugenides,3.79,362733,2024-10-13 12:35:41
Carrie,Stephen        King,3.99,756886,2024-10-13 12:35:41
Infinite Jest,David Foster Wallace,4.25,94561,2024-10-13 12:35:41
Local Woman Missing,Mary Kubica,4.14,553359,2024-10-13 12:35:41
Death of a Salesman,Arthur Miller,3.58,241410,2024-10-13 12:35:41
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.38,959953,2024-10-13 12:35:41
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,202675,2024-10-13 12:35:41
"Evermore (The Immortals, #1)",Alyson Noel,3.59,293626,2024-10-13 12:35:41
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,749500,2024-10-13 12:35:41
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.29,544752,2024-10-13 12:35:41
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.61,967771,2024-10-13 12:35:41
Jonathan Strange & Mr Norrell,Susanna Clarke,3.86,241394,2024-10-13 12:35:41
The Scarlet Pimpernel,Emmuska Orczy,4.07,137324,2024-10-13 12:35:41
"The Host (The Host, #1)",Stephenie Meyer,3.86,1020735,2024-10-13 12:35:41
Snow Flower and the Secret Fan,Lisa See,4.09,376940,2024-10-13 12:35:41
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,551952,2024-10-13 12:35:41
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.97,456963,2024-10-13 12:35:41
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,really liked it 4.00,704255,2024-10-13 12:35:41
Pet Sematary,Stephen        King,4.07,621078,2024-10-13 12:35:41
We Were Liars,E. Lockhart,3.66,1199521,2024-10-13 12:35:41
"The Angel Experiment (Maximum Ride, #1)",James Patterson,4.07,227320,2024-10-13 12:35:41
Sharp Objects,Gillian Flynn,4.02,1099596,2024-10-13 12:35:41
"Matched (Matched, #1)",Ally Condie,3.62,793303,2024-10-13 12:35:41
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,379405,2024-10-13 12:35:41
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.47,935235,2024-10-13 12:35:41
The Invisible Life of Addie LaRue,Victoria Schwab,4.18,1183182,2024-10-13 12:35:41
"Faust, First Part",Johann Wolfgang von Goethe,3.87,128210,2024-10-13 12:35:41
High Fidelity,Nick Hornby,3.91,206039,2024-10-13 12:35:41
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.04,495705,2024-10-13 12:35:41
"Red, White & Royal Blue",Casey McQuiston,4.08,1073436,2024-10-13 12:35:41
Northanger Abbey,Jane Austen,3.85,414316,2024-10-13 12:35:41
Persuasion,Jane Austen,4.15,721739,2024-10-13 12:35:41
The Shipping News,Annie Proulx,3.88,147937,2024-10-13 12:35:41
Waiting for Godot,Samuel Beckett,3.84,207425,2024-10-13 12:35:41
"The Chosen (Reuven Malther, #1)",Chaim Potok,4.07,94677,2024-10-13 12:35:41
Shantaram,Gregory David Roberts,4.27,222911,2024-10-13 12:35:41
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,2066156,2024-10-13 12:35:41
Houdini Heart,Ki Longfellow,3.84,5483,2024-10-13 12:35:41
Nineteen Minutes,Jodi Picoult,4.17,382976,2024-10-13 12:35:41
To the Lighthouse,Virginia Woolf,3.80,191775,2024-10-13 12:35:41
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,480573,2024-10-13 12:35:41
The Reader,Bernhard Schlink,3.78,216812,2024-10-13 12:35:41
Redeeming Love,Francine Rivers,4.51,336043,2024-10-13 12:35:41
"Neuromancer (Sprawl, #1)",William Gibson,3.89,337331,2024-10-13 12:35:41
